noc,job,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,s1 Data Analysis,s2 Decision Making,s3 Finding Information,s4 Job Task Planning and Organizing,s5 Measurement and Calculation,s6 Money Math,s7 Numerical Estimation,s8 Oral Communication,s9 Problem Solving,s10 Reading,s11 Scheduling or Budgeting and Accounting,s12 Digital Technology,s13 Document Use,s14 Writing,s15 Critical Thinking,f1 Science & Agriculture,f2 Engineering,f3 Humanities,f4 Social Science,f5 Fine Arts,f6 Math And Computer Science,f7 Arts & Education,f8 Education   (teacher training)                      ,f9 Law,f10 Health,"f11 Health, Nursing & Clinical Laboratory",f12 Business,"f13 Medical, Dental & Veterinary",d1 Agriculture & Biological Science                    ,d2 Forestry                                            ,d3 Architecture & Landscape Architecture               ,d4 Humanities                                          ,d5 Social Sciences                                     ,d6 Fine & Applied Arts                                 ,d7 Computer Science                                    ,d8 Other Arts & Science                                ,d9 Education   (teacher training)                      ,d10 Engineering                                         ,d11 Law                                                 ,d12 Mathematics                                         ,d13 Kinesiology / Recreation / Physical Education       ,d14 Theology                                            ,d15 Physical Sciences                                   ,d16 Therapy & Rehabilitation                            ,"d17 Health, Nursing & Clinical Laboratory",d18 Business & Commerce                                 ,"d19 Medical, Dental & Veterinary"
11,Legislators,295,3,3.75,0.015,171,Management occupations,1,Senior management occupations,49.05957447,46,43,24,59,8,11,8,3,7,4,5,18,11,23,8,21,17,18,11,0,0,0,35,0,0,0,90,85,0,0,85,0,0,0,0,0,35,0,0,0,90,0,85,0,0,0,0,0,0,85,0
12,Senior government managers and officials,2865,3,3.975903614,0.088,170,Management occupations,1,Senior management occupations,53.57,46,43,24,58,7,10,8,3,7,4,5,18,11,23,8,21,17,17,11,30,210,25,840,20,45,155,50,300,260,0,930,0,0,15,60,25,840,20,35,155,50,150,300,10,15,0,15,245,0,930,0
13,Authors and writers,22945,3,3.873841305,0.063,171.5,"Occupations in art, culture, recreation and sport",2,Professional occupations in art and culture,38.075,42,43,24.5,62,4.5,12,9,3,5.5,5.5,3.5,16.5,10.5,24.5,10,22,15,21,9,365,2010,225,2040,490,980,935,265,510,20,70,8545,0,100,0,50,190,2040,490,695,935,265,1960,510,285,20,35,265,0,70,8545,0
14,"Automotive service technicians, truck and bus mechanics and mechanical repairers                                     ",43915,1.5,3.040179003,0.35,149.5,"Trades, transport and equipment operators and related occupations",3,Maintenance and equipment operation trades,32.76,44.5,38,19,47.5,6.5,9,7.5,2.5,6.5,2.5,6.5,14,9,21.5,4,21.5,16.5,12,10,20,30,295,720,100,85,160,530,205,640,455,1810,0,20,0,0,240,720,100,40,160,530,30,205,45,150,55,0,490,455,1810,0
15,"Senior managers - trade, broadcasting and other services, n.e.c.",8805,0,3.357142857,0.088,170,Management occupations,1,Senior management occupations,52.3,46,42,24,58,7,10,8,3,7,4,5,18,11,23,8,21,17,17,10,275,880,70,1015,145,260,925,170,155,90,75,4745,0,60,0,15,70,1015,145,210,925,170,865,155,50,70,0,215,20,75,4745,0
16,Furniture finishers and refinishers,9695,0,2.927672956,0.479,145,Management occupations,1,Senior management occupations,35.44,39.5,37,21,48.5,5.5,9.5,7,3,7,3.5,4.5,15.5,9.5,20,6,16.5,17.5,13.5,7.5,555,2430,50,555,130,110,1275,95,60,70,0,4310,0,55,0,165,50,555,130,50,1275,95,2265,60,60,70,0,500,0,0,4310,0
111,Financial managers,25715,0,3.448412698,0.069,167,Management occupations,1,Specialized middle management occupations,44.87,45,42,23,57,7,10,8,3,7,4,5,18,11,23,8,21,17,17,10,230,410,140,2195,305,895,675,390,485,245,255,19490,0,60,25,0,140,2195,305,485,675,390,410,485,410,90,0,145,155,255,19490,0
112,Human resources managers,13860,0,3.493617021,0.006,196,Management occupations,1,Specialized middle management occupations,43.27,34,50,21,91,8,12,17,4,0,0,6,27,17,33,15,16,10,31,0,130,390,230,2095,415,105,685,510,380,320,475,8125,0,70,25,0,230,2095,415,90,685,510,390,380,15,105,0,35,215,475,8125,0
113,Purchasing managers,2635,0,3.5,0.03,158,Management occupations,1,Specialized middle management occupations,36.47605804,42,40,22,54,7,10,7,3,7,3,4,17,10,21,7,19,17,16,9,0,230,0,160,0,25,155,0,10,0,0,2055,0,0,0,0,0,160,0,15,155,0,230,10,10,0,0,0,0,0,2055,0
114,Other administrative services managers,4955,0,3.477272727,0.73,137,Management occupations,1,Specialized middle management occupations,40.87,37,35,20,45,5,9,6,3,7,3,4,14,9,19,5,14,18,12,7,35,260,75,635,125,90,325,230,435,115,150,2480,0,15,0,40,75,635,125,90,325,230,220,435,0,40,0,20,75,150,2480,0
