id,noc,job,title1,title2,title3,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,topSkill1,topSkill2,topSkill3,s1DataAnalysis,s2DecisionMaking,s3FindingInformation,s4JobTaskPlanningandOrganizing,s5MeasurementandCalculation,s6MoneyMath,s7NumericalEstimation,s8OralCommunication,s9ProblemSolving,s10Reading,s11SchedulingorBudgetingandAccounting,s12DigitalTechnology,s13DocumentUse,s14Writing,s15CriticalThinking,f1Science&Agriculture,f2Engineering,f3Humanities,f4SocialScience,f5FineArts,f6MathAndComputerScience,f7Arts&Education,f8Education(teachertraining),f9Law,f10Health,"f11Health,Nursing&ClinicalLaboratory",f12Business,"f13Medical,Dental&Veterinary",d1Agriculture&BiologicalScience,d2Forestry,d3Architecture&LandscapeArchitecture,d4Humanities,d5SocialSciences,d6Fine&AppliedArts,d7ComputerScience,d8OtherArts&Science,d9Education(teachertraining),d10Engineering,d11Law,d12Mathematics,d13Kinesiology/Recreation/PhysicalEducation,d14Theology,d15PhysicalSciences,d16Therapy&Rehabilitation,"d17Health,Nursing&ClinicalLaboratory",d18Business&Commerce,"d19Medical,Dental&Veterinary",jobbankPage,titlesNum,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,title_32,title_33,title_34,title_35,title_36,title_37,title_38,title_39,title_40,title_41,title_42,title_43,title_44,title_45,title_46,title_47,title_48,title_49,title_50,title_51,title_52,title_53,title_54,title_55,title_56,title_57,title_58,title_59,title_60,title_61,title_62,title_63,title_64,title_65,title_66,title_67,title_68,title_69,title_70,title_71,title_72,title_73,title_74,title_75,title_76,title_77,title_78,title_79,title_80,title_81,title_82,title_83,title_84,title_85,title_86,title_87,title_88,title_89,title_90,title_91,title_92,title_93,title_94,title_95,title_96,title_97,title_98,title_99,title_100
1,11,Legislators,Aboriginal band chief ,Aboriginal band council member ,alderman ,295,3,3.75,0.015,171,Management occupations,1,Senior management occupations,49.05957447,46,43,24,59,Reading,Digital Technology,Oral Communication,8,11,8,3,7,4,5,18,11,23,8,21,17,18,11,0,0,0,35,0,0,0,90,85,0,0,85,0,0,0,0,0,35,0,0,0,90,0,85,0,0,0,0,0,0,85,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0011,58,Aboriginal band chief,Aboriginal band council member,alderman,alderman/woman,alderwoman,attorney general,"band chief, First Nations",cabinet minister,"chair, metropolitan council","chair, regional municipality","chief, First Nations band",city alderman,city councillor,city councilman,city councilman/woman,city councilwoman,councillor,"councilman, city","councilman/woman, city","council member, First Nations band","councilwoman, city",First Nations band chief,First Nations band council member,First Nations government leader,government leader,governor general,leader of the opposition,legislative body speaker,legislator,lieutenant-governor,mayor,Member of Legislative Assembly (MLA),Member of Parliament (MP),Member of the House of Assembly (MHA),Member of the National Assembly (MNA),Member of the Provincial Parliament (MPP),metropolitan council chair,MHA (Member of the House of Assembly),minister - government,MLA (Member of the Legislative Assembly),MNA (Member of the National Assembly),MP (Member of Parliament),MPP (Member of the Provincial Parliament),municipal council chairman,municipal council chairman/woman,municipal council chairwoman,opposition leader,orator - government,premier,prime minister,reeve,regional municipality chair,school board trustee,senator,solicitor general,"speaker, legislative body",Treasury Board president,"trustee, school board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,Senior government managers and officials,ambassador ,assistant chief statistician - government services ,assistant deputy minister ,2865,3,3.975903614,0.088,170,Management occupations,1,Senior management occupations,53.57,46,43,24,58,Reading,Digital Technology,Oral Communication,7,10,8,3,7,4,5,18,11,23,8,21,17,17,11,30,210,25,840,20,45,155,50,300,260,0,930,0,0,15,60,25,840,20,35,155,50,150,300,10,15,0,15,245,0,930,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0012,81,ambassador,assistant chief statistician - government services,assistant deputy minister,assistant deputy minister - government services,assistant executive director - government services,assistant general director - government services,assistant undersecretary of state,band manager - First Nations,chairman - government services,chairman/woman - government services,chairperson - government services,"chairperson, Human Rights Commission",chairwoman - government services,chief administrative officer - government services,chief administrative officer - regional municipality,chief - disaster management,chief electoral officer,chief statistician - government services,city administrator,city hall clerk,city manager,city superintendent,clerk of the House of Commons,Clerk of the Privy Council,commissioner - government services,commissioner of inquiries,commissioner of inquiries - government services,"commissioner, territorial",comptroller general of Canada,consul,council secretary - government services,county clerk,deputy commissioner - government services,deputy minister,deputy minister - government services,deputy municipal clerk,deputy provincial secretary - government services,director general - government services,employment insurance appeals board chairperson,employment insurance commissioner,executive administrator - government agency,executive administrator - government department,executive director - emergency preparedness,executive director - government services,fire marshal,First Nations band manager,general manager - government services,general secretary - government services,government agency commissioner,government agency president,government agency senior administrator,grain commissioner,health commissioner,high commissioner,highway commissioner,Human Rights Commission chairperson,inspector general of financial institutions,liquor commissioner,local government manager,manager - First Nations,municipal administrator,ombudsman - government services,ombudsperson - government services,parole board chairman,parole board chairman/woman,parole board chairwoman,president - government services,railroad commissioner,receiver general for Canada,regional municipality general director,secretary to the council - government services,"senior administrator, government agency","sergeant-at-arms, House of Commons",superintendent of financial institutions,territorial commissioner,town clerk,township clerk,trade commissioner,undersecretary of state,vice-consul,vice-president - government services,,,,,,,,,,,,,,,,,,,
3,13,Authors and writers,advertising agency president ,"assistant executive director - financial, communications and other business services ",bank credit vice-president ,22945,3,3.873841305,0.063,171.5,"Occupations in art, culture, recreation and sport",2,Professional occupations in art and culture,38.075,42,43,24.5,62,Reading,Digital Technology,Writing,4.5,12,9,3,5.5,5.5,3.5,16.5,10.5,24.5,10,22,15,21,9,365,2010,225,2040,490,980,935,265,510,20,70,8545,0,100,0,50,190,2040,490,695,935,265,1960,510,285,20,35,265,0,70,8545,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0013,76,advertising agency president,"assistant executive director - financial, communications and other business services",bank credit vice-president,bank president,"CEO (chief executive officer) - financial, communications and other business services",CEO (chief executive officer) - telephone company,CFO (chief financial officer) - advertising agency,"CFO (chief financial officer) - financial, communications and other business services","chairman - financial, communications and other business services","chairman/woman - financial, communications and other business services","chairperson - financial, communications and other business services","chairwoman - financial, communications and other business services","chief executive officer (CEO) - financial, communications and other business services",chief executive officer (CEO) - telephone company,chief financial officer (CFO) - advertising agency,"chief financial officer (CFO) - financial, communications and other business services",chief operating officer - engineering firm,"chief operating officer - financial, communications and other business services",computing services company president,"controller - financial, communications and other business services",corporate banking vice-president,"corporate controller - financial, communications and other business services","corporate controller, mortgage brokerage firm",credit union executive director,credit union general manager,"deputy chief executive officer - financial, communications and other business services","deputy chief executive officer, life insurance company",domestic banking operations vice-president,employment agency general manager,engineering firm president,engineering research general manager,"engineering vice-president - financial, communications and other business services","executive director, credit union","executive director - financial, communications and other business services","executive vice-president - financial, communications and other business services","executive vice-president, real estate agency","finance and administration vice-president - financial, communications and other business services","finance vice-president - financial, communications and other business services",finance vice-president - holding company,"general manager - financial, communications and other business services","general manager, real estate management company","human resources and organizational development vice-president - financial, communications and other business services",human resources vice-president - bank,"human resources vice-president - financial, communications and other business services","information systems vice-president - financial, communications and other business services",insurance company general manager,international banking operations vice-president,marketing vice-president - clerical staff services,"marketing vice-president - financial, communications and other business services","operations vice-president - financial, communications and other business services",operations vice-president - satellite communication services,personal banking vice-president,personnel vice-president - bank,"personnel vice-president - financial, communications and other business services","planning vice-president - financial, communications and other business services","president, advertising agency",president and chief executive officer,"president and chief executive officer - financial, communications and other business services","president, computing service company","president - financial, communications and other business services",protective services executive director,real estate management company executive director,"regional vice-president - financial, communications and other business services","regional vice-president, trust company",senior vice-president and chief economist,"support services vice-president - financial, communications and other business services",telecommunications general manager,"treasury vice-president, banking institution",trust company general manager,trust company regional vice-president,"vice-president, finance - holding company","vice-president - financial, communications and other business services","vice-president, human resources - bank","vice-president, marketing - clerical staff services","vice-president, operations - satellite communication services","vice-president, personnel - bank",,,,,,,,,,,,,,,,,,,,,,,,
4,14,"Automotive service technicians, truck and bus mechanics and mechanical repairers                                     ",academic business vice-president ,"administrator, hospital ","assistant executive director - health, education, social and community services and membership organizations ",43915,1.5,3.040179003,0.35,149.5,"Trades, transport and equipment operators and related occupations",3,Maintenance and equipment operation trades,32.76,44.5,38,19,47.5,Reading,Reading,Document Use,6.5,9,7.5,2.5,6.5,2.5,6.5,14,9,21.5,4,21.5,16.5,12,10,20,30,295,720,100,85,160,530,205,640,455,1810,0,20,0,0,240,720,100,40,160,530,30,205,45,150,55,0,490,455,1810,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0014,90,academic business vice-president,"administrator, hospital","assistant executive director - health, education, social and community services and membership organizations",association executive director,automobile association executive director,business association general manager,business general manager,business school general manager,"CEO (chief executive officer) - health, education, social and community services and membership organizations","CFO (chief financial officer), educational institution","CFO (chief financial officer) - health, education, social and community services and membership organizations","chairman - health, education, social and community services and membership organizations","chairman/woman - health, education, social and community services and membership organizations","chairperson, arts and culture association","chairperson, educators association","chairperson - health, education, social and community services and membership organizations","chairperson, scientific association","chairwoman - health, education, social and community services and membership organizations",chancellor - education,charitable organization director,charitable organization executive director,"chief executive officer (CEO) - health, education, social and community services and membership organizations","chief financial officer (CFO), educational institution","chief financial officer (CFO) - health, education, social and community services and membership organizations","chief operating officer - health, education, social and community services and membership organizations",college chancellor,college president,community college president,"corporate controller - health, education, social and community services and membership organizations","corporate controller, social services institution","deputy chief executive officer - health, education, social and community services and membership organizations","director general - health, education, social and community services and membership organizations","executive director, alumni association","executive director, arts association","executive director, association","executive director, automobile association","executive director, crafts guild","executive director, environmental group","executive director - health, education, social and community services and membership organizations","executive director, health services institution","executive director, hospital","executive director, NGO (non-governmental organization)","executive director, non-governmental organization (NGO)","executive director, nurse's association","executive director, professional association","executive director, recreational association","executive director, teacher's federation","executive director, voluntary organization","executive director, YMCA","executive general manager - health, education, social and community services and membership organizations","executive vice-president - health, education, social and community services and membership organizations","finance and administration vice-president - health, education, social and community services and membership organizations","finance vice-president - health, education, social and community services and membership organizations","general manager - health, education, social and community services and membership organizations","general manager, membership organization",hockey association general manager,hospital administrator,hospital executive director,"human resources and organizational development vice-president - health, education, social and community services and membership organizations","human resources vice-president - health, education, social and community services and membership organizations","information systems vice-president - health, education, social and community services and membership organizations",labour organization president,"lobby chief executive officer - health, education, social and community services and membership organizations","marketing vice-president - health, education, social and community services and membership organizations",medical vice-president - health services,"nursing vice-president - health, education, social and community services and membership organizations","operations vice-president - health, education, social and community services and membership organizations","personnel vice-president - health, education, social and community services and membership organizations","planning vice-president - health, education, social and community services and membership organizations",political organization general manager,political party president,"president, academic association","president and general manager - health, education, social and community services and membership organizations","president, business association","president, cultural association","president, ethnic association","president, health care association","president - health, education, social and community services and membership organizations","president, labour organization","president, music guild","president, political party","president, sports association",rector - education,"regional vice-president - health, education, social and community services and membership organizations",scientific association chairperson,"support services vice-president - health, education, social and community services and membership organizations",trade school general manager,union association president,university president,"vice-president - health, education, social and community services and membership organizations",,,,,,,,,,
5,15,"Senior managers - trade, broadcasting and other services, n.e.c.",broadcasting corporation president ,casino general manager ,"CEO (chief executive officer), deputy - trade, broadcasting and other services ",8805,0,3.357142857,0.088,170,Management occupations,1,Senior management occupations,52.3,46,42,24,58,Reading,Digital Technology,Oral Communication,7,10,8,3,7,4,5,18,11,23,8,21,17,17,10,275,880,70,1015,145,260,925,170,155,90,75,4745,0,60,0,15,70,1015,145,210,925,170,865,155,50,70,0,215,20,75,4745,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0015,65,broadcasting corporation president,casino general manager,"CEO (chief executive officer), deputy - trade, broadcasting and other services","CEO (chief executive officer) - trade, broadcasting and other services","CEO (chief executive officer), travel agency","CFO (chief financial officer), professional sports club","CFO (chief financial officer) - trade, broadcasting and other services","chairman - trade, broadcasting and other services","chairman/woman - trade, broadcasting and other services","chairperson - trade, broadcasting and other services","chairwoman - trade, broadcasting and other services","chief executive officer (CEO), deputy - trade, broadcasting and other services","chief executive officer (CEO) - trade, broadcasting and other services","chief executive officer (CEO), travel agency","chief financial officer (CFO), professional sports club","chief financial officer (CFO) - trade, broadcasting and other services","chief operating officer - trade, broadcasting and other services",cleaning service general manager,"corporate controller, restaurant chain","corporate controller - trade, broadcasting and other services",department store president,"deputy chief executive officer (CEO) - trade, broadcasting and other services",engineering vice-president - television broadcasting services,"engineering vice-president - trade, broadcasting and other services","executive director - trade, broadcasting and other services",executive vice-president - metal and metal products wholesaler,"executive vice-president - trade, broadcasting and other services","finance and administration vice-president - trade, broadcasting and other services",finance vice-president - food wholesaling,"finance vice-president - trade, broadcasting and other services",funeral services general manager,"general manager, cleaning service","general manager, sales - trade, broadcasting and other services",hotel general manager,"human resources and organizational development vice-president - trade, broadcasting and other services","human resources vice-president - trade, broadcasting and other services","information systems vice president - trade, broadcasting and other services",laundry and dry cleaning general manager,marketing vice-president - grocery store chain,"marketing vice-president - trade, broadcasting and other services","operations manager - trade, broadcasting and other services",operations vice-president - radio broadcasting services,"operations vice-president - trade, broadcasting and other services","personnel vice-president - trade, broadcasting and other services","planning vice-president - trade, broadcasting and other services","president and director - trade, broadcasting and other services","president and general manager - trade, broadcasting and other services","president, department store","president - trade, broadcasting and other services",radio station general manager,"regional vice-president, hotel chain","regional vice-president - trade, broadcasting and other services",retail establishment president,"sales and advertising vice-president - trade, broadcasting and other services","sales general manager - trade, broadcasting and other services","sales vice-president - trade, broadcasting and other services","support services vice-president - trade, broadcasting and other services","vice-president and general sales manager - trade, broadcasting and other services","vice-president, engineering - television broadcasting services","vice-president, finance - food wholesaling","vice-president, information systems - trade, broadcasting and other services","vice-president, marketing - grocery store chain","vice-president, operations - radio broadcasting services","vice-president - trade, broadcasting and other services",wholesaler - broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,Furniture finishers and refinishers,"assistant executive director - goods production, utilities, transportation and construction ",building construction general manager ,"CEO (chief executive officer) - goods production, utilities, transportation and construction ",9695,0,2.927672956,0.479,145,Management occupations,1,Senior management occupations,35.44,39.5,37,21,48.5,Reading,Document Use,Digital Technology,5.5,9.5,7,3,7,3.5,4.5,15.5,9.5,20,6,16.5,17.5,13.5,7.5,555,2430,50,555,130,110,1275,95,60,70,0,4310,0,55,0,165,50,555,130,50,1275,95,2265,60,60,70,0,500,0,0,4310,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0016,61,"assistant executive director - goods production, utilities, transportation and construction",building construction general manager,"CEO (chief executive officer) - goods production, utilities, transportation and construction",CEO (chief executive officer) - manufacturing company,"CFO (chief financial officer) - goods production, utilities, transportation and construction",CFO (chief financial officer) - urban transit system,"chief executive officer (CEO) - goods production, utilities, transportation and construction",chief executive officer (CEO) - manufacturing company,"chief financial officer (CFO) - goods production, utilities, transportation and construction",chief financial officer (CFO) - urban transit system,"chief operating officer - goods production, utilities, transportation and construction",construction general manager,"corporate controller - goods production, utilities, transportation and construction","corporate controller, logging company","deputy chief executive officer - goods production, utilities, transportation and construction",electric power company president,"engineering vice-president - goods production, utilities, transportation and construction","executive director - goods production, utilities, transportation and construction","executive vice-president - goods production, utilities, transportation and construction",executive vice-president - railway,feed and flour mills general manager,"finance and administration vice-president - goods production, utilities, transportation and construction","finance vice-president - goods production, utilities, transportation and construction",finance vice-president - mining company,gas distribution general manager,"general manager - goods production, utilities, transportation and construction","general manager, trucking company",highway construction general manager,"human resources and organizational development vice-president - goods production, utilities, transportation and construction","human resources vice-president - goods production, utilities, transportation and construction",hydro-electric power station president,"information systems vice-president - goods production, utilities, transportation and construction",manufacturing company chief executive officer,marketing vice-president - airline,"marketing vice-president - goods production, utilities, transportation and construction",operations vice-president - electric power company,"operations vice-president - goods production, utilities, transportation and construction","personnel vice-president - goods production, utilities, transportation and construction","planning vice-president - goods production, utilities, transportation and construction","president - goods production, utilities, transportation and construction","president, residential construction company","production general manager - goods production, utilities, transportation and construction",publisher,publishing house general manager,"regional vice-president - goods production, utilities, transportation and construction","regional vice-president, petroleum production company",residential construction company president,"sales vice-president - goods production, utilities, transportation and construction",sales vice-president - pulp and paper manufacturing,"support services vice-president - goods production, utilities, transportation and construction",transit system general manager,transport and communications general manager,trucking company general manager,"vice-president, engineering - goods production, utilities, transportation and construction","vice-president, finance - mining company","vice-president - goods production, utilities, transportation and construction","vice-president, human resources and organizational development - goods production, utilities, transportation and construction","vice-president, human resources - goods production, utilities, transportation and construction","vice-president, marketing - airline","vice-president, operations - electric power company","vice-president, sales - pulp and paper manufacturing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,111,Financial managers,accounting and financial control chief ,accounting and financial control director ,accounting department manager ,25715,0,3.448412698,0.069,167,Management occupations,1,Specialized middle management occupations,44.87,45,42,23,57,Reading,Digital Technology,Oral Communication,7,10,8,3,7,4,5,18,11,23,8,21,17,17,10,230,410,140,2195,305,895,675,390,485,245,255,19490,0,60,25,0,140,2195,305,485,675,390,410,485,410,90,0,145,155,255,19490,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0111,74,accounting and financial control chief,accounting and financial control director,accounting department manager,accounting director,accounting manager,accounting manager - financial services department,accounting office manager,"administrator, pension plans",assigned public accountants chief,assistant accounting manager,assistant treasurer - finances,audit and compliance director,auditing department manager,"chief, accounting and financial control",collections department manager,controller - financial services,corporate budgeting and analysis manager,corporate financing manager,corporate risk department manager,"department manager, collections","director, accounting and financial control","director, audit and compliance","director, budget and sectoral profitability","director, finance","director, financial evaluations","director, financial planning and reporting",director - financial services,"director, financing and administration",director of accounting,director-treasurer - financial services,finance and control manager,finance chief,finance director,finance manager,financial administrator,financial audit manager,financial controller,financial control manager,financial director,financial evaluations director,financial manager,financial planning and advisory service manager,financial planning and analysis manager,financial planning and reporting director,financial planning and reporting manager,financial resources service co-ordinator,financing and administration director,group accounting manager,independent public accountants chief,internal audit manager,internal audit services manager,investments research director,"manager, accounting","manager, auditing department","manager, collection","manager, corporate budgeting and analysis","manager, corporate financing","manager, corporate risk department","manager, finance","manager, financial control","manager, financial planning and analysis","manager, financial planning and reporting","manager, internal audits","manager, internal audit services",manager of accounting department,manager of auditing department,"manager, pension services",pension plans administrator,pension services manager,regional controller - financial services,"research director, investments",revenue accounting and controls section chief,treasurer,treasurer and controller - finances,,,,,,,,,,,,,,,,,,,,,,,,,,
8,112,Human resources managers,"administrator, human resources ",benefits manager ,"chief, classification and compensation ",13860,0,3.493617021,0.006,196,Management occupations,1,Specialized middle management occupations,43.27,34,50,21,91,Reading,Writing,Oral Communication,8,12,17,4,0,0,6,27,17,33,15,16,10,31,0,130,390,230,2095,415,105,685,510,380,320,475,8125,0,70,25,0,230,2095,415,90,685,510,390,380,15,105,0,35,215,475,8125,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0112,100,"administrator, human resources",benefits manager,"chief, classification and compensation","chief, employment equity","chief, official languages","chief, personnel","chief, staffing","chief, staff relations","chief, staff training and development","chief, training",classification and compensation chief,compensation manager,"co-ordinator, staff training","director, employee benefits","director, employment equity - human resources","director, human resources","director, human resources development","director, human resources development and planning","director, human resources management","director, labour relations","director, language training","director, occupational training - human resources","director, pay and benefits","director, pay-processing division - government services","director, pay services - human resources","director, personnel","director, personnel and industrial relations","director, personnel services","director, recruiting","director, vocational training - human resources",employee benefits director,employee benefits manager,employer-employee relations manager,employment equity chief,employment equity director - human resources,employment equity manager - human resources,employment manager,health and safety co-ordinator,human resources administrator,human resources development and planning director,human resources development director,human resources director,human resources management director,human resources manager,human resources planning manager,industrial relations manager,job evaluation and salary research manager,labour relations director,labour relations manager,language training director,"manager, benefits","manager, compensation","manager, disability management program","manager, employee benefits","manager, employer-employee relations","manager, employment","manager, employment equity - human resources","manager, human resources","manager, human resources planning","manager, industrial relations","manager, job evaluation and salary research","manager, labour relations","manager, occupational health and safety","manager, official languages","manager, pay and benefits","manager, pensions and benefits","manager, personnel","manager, personnel administration","manager, personnel services","manager, personnel training and development","manager, recruiting","manager, salary research and administration","manager, staff relations","manager, staff training and development","manager, training and development","manager, wage and salary administration",occupational health and safety manager,occupational training director - human resources,official languages chief,official languages manager,pay and benefits director,pay and benefits manager,pay-processing division director - government services,pay services director - human resources,pensions and benefits manager,personnel administration manager,personnel and industrial relations director,personnel chief,personnel director,personnel manager,personnel services director,personnel services manager,personnel training and development manager,recruiting director,recruiting manager,salary research and administration manager,staffing chief,staff relations chief,staff relations manager,staff training and development chief
9,113,Purchasing managers,building supplies purchasing manager ,"chief, purchasing ",clothing purchasing director ,2635,0,3.5,0.03,158,Management occupations,1,Specialized middle management occupations,36.47605804,42,40,22,54,Reading,Digital Technology,Oral Communication,7,10,7,3,7,3,4,17,10,21,7,19,17,16,9,0,230,0,160,0,25,155,0,10,0,0,2055,0,0,0,0,0,160,0,15,155,0,230,10,10,0,0,0,0,0,2055,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0113,38,building supplies purchasing manager,"chief, purchasing",clothing purchasing director,clothing purchasing manager,contract director,contract manager,"director, procurement operations","director, purchasing","director, supply management",electronic components purchasing chief,electronic components purchasing director,electronic components purchasing manager,equipment manager,food purchasing director,food purchasing manager,hardware purchasing director,hardware purchasing manager,"manager, procurement","manager, purchasing contracts",material and services purchasing manager,material manager,merchandise purchasing director,merchandise purchasing manager,office equipment purchasing manager,procurement director,procurement manager,procurement operations director,purchasing chief,purchasing contracts director,purchasing contracts manager,purchasing director,purchasing manager,supply chain director,supply chain logistics manager,supply chain manager,supply chief,supply-management director,supply service chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,114,Other administrative services managers,accounting records manager ,account records manager ,administration and property management services director ,4955,0,3.477272727,0.73,137,Management occupations,1,Specialized middle management occupations,40.87,37,35,20,45,Reading,Document Use,Oral Communication,5,9,6,3,7,3,4,14,9,19,5,14,18,12,7,35,260,75,635,125,90,325,230,435,115,150,2480,0,15,0,40,75,635,125,90,325,230,220,435,0,40,0,20,75,150,2480,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=0114,66,accounting records manager,account records manager,administration and property management services director,administrative manager,administrative records department manager,administrative records manager,administrative services chief,administrative services director,administrative services manager,administrative support services manager,"administrator, records",branch manager - administration,"buildings, vehicles and supplies manager",business manager - non-profit organization,chartered administrator - management,chartered secretary - management,"chief, administrative services","chief, financial and administrative services","chief, legal department","chief, management services division","department manager, security","director, administration and property management services","director, administrative services","director, finance and administration","director, legal department","director, operational planning",division administrative manager,finance and administration director,financial and administrative services chief,health records administrator,hospital admissions director,inventory control manager,inventory manager,legal department chief,legal department director,management services division chief,"manager, administrative records","manager, administrative services","manager, administrative support services","manager, buildings, vehicles and supplies","manager, medical records","manager, patient registration","manager, security","manager, security department","manager, support services",managing director,material control manager,medical records department manager,medical records manager,office manager - non-profit organization,operational planning director,operations chief,operations director - administrative services,operations manager - administrative services,organizational rules analysis manager,organization rules analysis manager,patient-registration manager,planning and organizational development manager,records administrator,records management services manager,records manager,regional administrative manager,security department manager,security manager,support services administrative manager,support services manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
